UNIQID	NAME	miR-133a	miR-1	miR-92a	miR-21	miR-126
u51	BFSP1	0.000000	0.089830	0.193297	0.000000	0.000000
u52	BIRC6	0.037484	0.000000	0.312126	0.000000	-0.000000
u53	BMP4	0.000000	0.143291	0.283779	0.500749	0.000000
u54	BNIP3L	12.535899	-4.934585	-6.021305	-6.799204	7.157085
u55	BOC	0.000000	0.000000	0.000000	0.617798	0.000000
u56	BRD7	0.000000	0.089416	0.451828	0.335563	0.000000
u57	BRE	0.000000	0.056951	0.374943	0.000000	0.000000
u58	BRWD1	0.000000	0.250784	0.135837	0.362605	0.000000
u59	BSDC1	0.000000	0.229660	0.000000	0.133045	0.000000
u60	C10ORF54	0.000000	0.111831	0.002144	0.705851	0.327791
u61	C11ORF24	0.000000	0.000000	1.011189	0.000000	0.135448
u62	C12ORF40	0.000000	0.764119	0.000000	0.000282	0.000000
u63	C16ORF71	0.000000	0.000000	0.160988	0.423660	0.098629
u64	C16ORF80	0.298305	0.000000	0.000000	0.000000	-0.000000
u65	C17ORF67	0.000000	0.000000	0.311228	0.000000	0.000000
u66	C19ORF81	0.000000	0.618023	0.000000	0.000000	0.000000
u67	C1S	0.000000	0.053692	0.000000	1.058653	0.000000
u68	C2ORF15	0.000000	0.114357	0.096364	0.000000	0.000000
u69	C2ORF43	0.000000	0.000000	0.000000	0.628718	0.000000
u70	C3ORF52	0.000000	0.378177	0.147312	0.093120	0.000000
u71	C5	0.249363	0.000000	0.000000	0.000000	-0.000000
u72	C5ORF34	0.286464	0.000000	0.000000	0.000000	-0.000000
u73	C6ORF163	0.334516	0.031945	0.000000	0.000000	0.000000
u74	C9ORF47	0.052431	0.124105	0.034174	0.000000	0.000000
u75	CA13	0.000000	0.280488	0.015196	0.328866	0.000000
u76	CA4	0.000000	0.122252	0.000975	0.723187	0.288414
u77	CAB39	0.392882	0.094635	0.000000	0.004348	0.000000
u78	CACNA1B	0.000000	0.058081	0.468885	0.468240	0.000000
u79	CACNA2D3	0.267989	0.000000	0.000000	0.000000	-0.000000
u80	CACNB2	0.000000	0.240399	0.175676	0.133277	0.000000
u81	CACNG4	0.356368	0.000000	0.000000	0.000000	-0.000000
u82	CACYBP	0.164366	0.093879	0.000000	0.000000	0.000000
u83	CAPN10	0.000000	0.235917	0.000000	0.373507	0.000000
u84	CAPZA1	0.000000	0.000000	0.000000	0.944261	0.142686
u85	CARD10	0.000000	0.000000	0.000000	0.911844	0.189642
u86	CASC1	0.000000	0.150563	0.109327	0.000000	0.000000
u87	CATSPER1	0.000000	0.153386	0.039510	0.000000	0.000000
u88	CBLN3	0.000000	0.182405	0.000000	0.000000	0.000000
u89	CBR3	0.000000	0.265133	0.000000	0.000000	0.000000
u90	CCDC108	0.000000	0.095843	0.090055	0.618764	0.000000
u91	CCDC125	0.000000	0.010209	0.000000	0.993842	0.052380
u92	CCDC150	0.000000	0.380670	0.000000	0.035486	0.000000
u93	CCDC6	0.000000	0.000000	0.733860	0.101150	0.106788
u94	CCNL1	0.000000	0.000000	0.114406	0.876096	0.000000
u95	CD200	0.000000	0.448037	0.074729	0.213163	0.000000
u96	CD207	0.000000	0.125948	0.165416	0.000000	-0.000000
u97	CD84	0.000000	0.224372	0.105675	0.373495	0.000000
u98	CDH13	0.000000	0.866004	0.000000	0.000000	0.167088
u99	CDK17	0.407837	0.069607	0.000000	0.000000	0.000000
u100	CEACAM5	0.232615	0.024331	0.073741	0.001865	0.000000
u101	CELF6	0.000000	0.000000	0.000000	0.974868	0.362108
u102	CENPN	0.000000	0.154081	0.055613	0.000000	0.000000
u103	CEP170	0.258872	0.000000	0.000000	0.000000	0.000000
u104	CERCAM	0.000000	0.054857	0.000000	1.025552	0.000000
u105	CES1	0.450171	0.000000	0.000000	0.057558	0.000000
u106	CES3	0.000000	0.121420	0.173720	0.321506	0.000000
u107	CHRFAM7A	0.000000	0.099281	0.332701	0.051882	0.000000
u108	CHRM2	0.000000	0.024159	0.001732	0.000000	1.443000
u109	CLDN4	0.000000	0.047104	0.269570	0.452442	0.000000
u110	CLEC4G	0.000000	0.201298	0.012315	0.174459	0.000000
u111	CLSTN2	0.000000	0.418358	0.000000	0.000000	-0.000000
u112	CLTC	0.297355	0.090091	0.000000	0.065343	0.000000
u113	CNN3	0.000000	0.069327	0.320055	0.278624	0.000000
u114	CNST	0.256001	0.104181	0.093588	0.101305	0.000000
u115	CNTN3	0.498919	0.000000	0.000000	0.000000	-0.000000
u116	COL16A1	0.304145	0.000000	0.335207	0.158969	0.000000
u117	COL23A1	0.000000	0.017393	0.020124	0.000000	1.400142
u118	COL28A1	0.000000	0.213808	0.276256	0.000000	0.000000
u119	COL4A3	0.161213	0.080628	0.000000	0.339185	0.000000
u120	COL6A2	0.176502	0.000000	0.008193	0.000000	1.439443
u121	COL6A3	0.000000	0.019020	0.161152	0.382321	0.224051
u122	COL9A1	0.000000	0.131690	0.133809	0.244925	0.000000
u123	CPT1C	0.350407	0.079776	0.000000	0.241955	0.000000
u124	CREG2	0.000000	0.314989	0.087412	0.074120	0.000000
u125	CRIPAK	0.000000	0.263980	0.000000	0.283964	0.000000
u126	CRISPLD2	0.000000	0.252218	0.000000	0.837937	0.000000
u127	CRYGN	0.000000	0.216274	0.002916	0.052215	0.000000
u128	CSF1R	0.000000	0.196417	0.458996	0.000000	0.000000
u129	CTH	0.188412	0.000000	0.323271	0.017029	0.000000
u130	CTPS2	0.000000	0.074669	0.311835	0.529761	0.000000
u131	CTRB2	0.000000	0.000000	0.000000	0.000000	1.883108
u132	CXCL16	0.000000	0.208676	0.050374	0.402762	0.000000
u133	CXORF23	0.000000	0.062800	0.231684	0.305787	0.103297
u134	CXORF38	0.252396	0.000000	0.072387	0.402831	0.000000
u135	CYB561	0.000000	0.284995	0.000000	0.180759	0.000000
u136	CYFIP2	0.315417	0.000000	0.014894	0.631668	0.000000
u137	CYGB	2.175381	-0.563078	-3.256427	-6.771449	10.863701
u138	CYP1A2	0.058262	0.066496	0.156375	0.272308	0.000000
u139	CYP27A1	0.430722	0.000000	0.000000	0.211146	0.000000
u140	CYP2B6	0.000000	0.000000	0.000000	1.013114	0.303229
u141	CYP7B1	0.000000	0.004159	0.092457	0.866882	0.027028
u142	CYYR1	0.285952	0.000000	0.000000	0.000000	-0.000000
u143	DAAM2	0.000000	0.000000	0.000000	1.010892	0.292979
u144	DAK	0.381545	0.000000	0.016937	0.000000	-0.000000
u145	DCLK1	0.319678	0.000000	0.000000	0.600979	0.000000
u146	DCTN5	0.176599	0.246588	0.000000	0.027927	0.000000
u147	DDB1	0.000000	0.299274	0.000000	0.180806	0.000000
u148	DDR1	0.000000	0.034610	0.507474	0.387052	0.000000
u149	DDX26B	0.068241	0.216967	0.215114	0.000000	0.000000
u150	DEPDC5	0.000000	0.186999	0.000000	0.000000	0.000000
u151	DHDH	0.289964	0.000000	0.000000	0.000000	-0.000000
u152	DHX36	0.000781	0.352766	0.114702	0.000000	0.000000
u153	DICER1	0.000000	0.292243	0.245437	0.081267	0.000000
u154	DIS3L2	0.000000	0.243975	0.000000	0.219014	0.000000
u155	DLG2	0.046948	0.181859	0.000000	0.000000	-0.000000
u156	DLK1	0.000000	0.000000	0.921507	0.000000	0.000000
u157	DMXL2	0.000000	0.080639	0.442741	0.000000	0.000000
u158	DNAH12	0.000000	0.384887	0.000000	0.044970	0.000000
u159	DPF1	0.000000	0.000000	0.140551	0.705612	0.135869
u160	DPY19L1	0.000000	0.747308	0.000000	0.020085	0.013502
u161	DST	0.132576	0.061457	0.300032	0.349219	0.000000
u162	DUOX1	0.000000	0.320811	0.216732	0.002659	0.000000
u163	DUS3L	0.000000	0.096887	0.155023	0.268956	0.000000
u164	DYNLT1	0.000000	0.119402	0.178482	0.386252	0.004291
u165	ECM2	0.435483	0.074572	0.000000	0.015620	0.000000
u166	ECT2L	0.190424	0.000000	0.200842	0.000000	-0.000000
u167	EDIL3	0.000000	0.000000	0.000000	1.081814	0.000000
u168	EFHD1	0.000000	0.289422	0.056958	0.817118	0.037727
u169	EHD1	0.000000	0.092940	0.369068	0.000000	0.000000
u170	EID3	0.000000	0.201848	0.297185	0.000000	0.000000
u171	EIF4G3	0.000000	0.000000	0.191959	0.768180	0.077240
u172	EIF5	0.287319	0.062585	0.247111	0.000000	0.000000
u173	EMILIN3	0.000000	0.000000	0.006037	0.000000	1.454052
u174	ENO2	0.000000	0.360333	0.000000	0.000000	0.000000
u175	ENPP5	0.000000	0.000000	0.223860	0.614417	0.000000
u176	EPHA7	0.503320	0.000000	0.000000	0.101009	0.000000
u177	EPS15	0.324018	0.005313	0.025252	0.048321	0.806469
u178	ETV1	0.528633	0.000000	0.000000	0.000000	0.000000
u179	EWSR1	0.088611	0.045560	0.301047	0.394401	0.000000
u180	EXD3	0.234164	0.003659	0.000000	0.252564	0.000000
u181	F2RL2	0.000000	0.415601	0.000000	0.121727	0.000000
u182	FAM117B	0.000000	0.185470	0.158315	0.426549	0.000000
u183	FAM120A	0.000000	0.311405	0.188954	0.000000	0.000000
u184	FAM120C	0.017377	0.163825	0.033858	0.358465	0.031925
u185	FAM122B	0.000000	0.057015	0.181253	0.419181	0.068466
u186	FAM122C	0.079778	0.246626	0.000000	0.000000	0.000000
u187	FAM149B1	0.000000	0.124466	0.433877	0.108982	0.000000
u188	FAM230A	0.000000	0.078469	0.000000	0.233345	0.000000
u189	FAM69A	0.000000	0.270690	0.000000	0.215481	0.000000
u190	FANCD2	0.352519	0.000000	0.065290	0.000000	0.000000
u191	FBN1	-0.917653	-0.000000	0.542149	7.550796	-6.940256
u192	FBRSL1	0.000000	0.105374	0.335609	0.418966	0.000000
u193	FBXW2	0.000000	0.066511	0.384507	0.000000	0.000000
u194	FGF17	0.000000	0.319551	0.000000	0.000000	0.000000
u195	FHL3	0.000000	0.000000	0.940135	0.005687	0.131352
u196	FKBPL	0.219386	0.050920	0.000000	0.000000	0.000000
u197	FLJ41455	0.000000	0.317960	0.000000	0.000000	-0.000000
u198	FMNL1	0.000000	0.096243	0.222270	0.566522	0.000000
u199	FNDC1	0.269046	0.229592	0.000000	0.613813	0.000000
u200	FOXJ1	0.006235	0.241431	0.000000	0.000000	0.000000
u201	FOXP1	0.000000	0.870225	0.000000	0.000051	0.270275
u202	FRMPD1	0.054112	0.124577	0.000000	0.094713	0.000000
u203	FSHR	0.000000	0.399585	0.000000	0.000000	0.000000
u204	FSTL1	0.000000	0.000000	1.037489	0.000000	0.134341
u205	GAFA1	0.357147	0.122391	0.000000	0.033350	0.000000
u206	GALNT12	0.237538	0.000000	0.000000	0.000000	-0.000000
u207	GAPT	0.000000	0.000000	0.384980	0.328717	0.174965
u208	GATAD2A	0.182056	0.072525	0.000000	0.000000	0.000000
u209	GCN1L1	0.000000	0.001529	0.544610	0.193911	0.100352
u210	GIT2	0.000000	0.107228	0.560560	0.016656	0.000000
u211	GKN1	0.000000	0.285628	0.000000	0.000000	0.000000
u212	GLDN	0.000000	0.374301	0.000000	0.000000	-0.000000
u213	GLI3	0.209472	0.187951	0.165629	0.000000	0.000000
u214	GLT8D2	0.000000	0.137047	0.000000	1.001288	0.000000
u215	GNAI3	0.000000	0.132783	0.371180	0.169814	0.000000
u216	GNG2	0.000000	0.305113	0.216295	0.000000	0.000000
u217	GOLGA8K	0.000000	0.343306	0.000000	0.180178	0.000000
u218	GPCPD1	0.268478	0.085410	0.000000	0.000000	-0.000000
u219	GPM6B	0.222428	0.037502	0.000000	0.241946	0.000000
u220	GPR143	0.000000	0.132042	0.140662	0.000000	0.000000
u221	GPR64	0.173516	0.118464	0.033187	0.000000	-0.000000
u222	GPT2	0.000000	0.144257	0.577104	0.014003	0.000000
u223	GRIK5	0.000000	0.000000	0.388438	0.358887	0.022499
u224	GSG1	0.000000	0.233600	0.245204	0.160688	0.000000
u225	GUCA1B	0.000000	0.239863	0.170188	0.083875	0.000000
u226	GXYLT1	0.000000	0.226661	0.257241	0.143946	0.000000
u227	HAS2	0.321629	0.000000	0.000000	0.000000	-0.000000
u228	HCLS1	0.000000	0.000000	0.000000	0.918125	0.425803
u229	HCN4	0.257642	0.168137	0.312951	0.021383	0.086023
u230	HFE	0.000000	0.352432	0.000000	0.000000	0.000000
u231	HHIP	0.310105	0.000000	0.000000	0.000000	-0.000000
u232	HHIPL1	0.328618	0.000000	0.000000	0.000000	-0.000000
u233	HIST2H2BA	0.150918	0.113756	0.000000	0.000000	0.000000
u234	HK1	0.000000	0.000000	0.000000	0.949037	0.418183
u235	HMGB4	0.000000	0.000000	0.251802	0.483405	0.042743
u236	HMGN1	0.000000	0.857123	0.000000	0.000000	0.488330
u237	HSPA5	0.000000	0.044689	0.204447	0.431327	0.000000
u238	HTRA3	0.255264	0.080893	0.058995	0.794858	0.000000
u239	HYDIN	0.179908	0.155995	0.000000	0.000000	0.000000
u240	IFNA2	0.256575	0.000000	0.000000	0.000000	-0.000000
u241	IL17D	0.295393	0.000000	0.000000	0.000000	-0.000000
u242	IL17RE	0.000000	0.000000	0.000000	0.999961	0.155316
u243	IL1RAP	0.071167	0.000000	0.239423	0.298213	0.000000
u244	IL2RG	0.000000	0.000000	0.000000	0.938475	0.428390
u245	INTS6	0.000000	0.722699	0.000000	0.013392	0.070445
u246	IPMK	0.000000	0.230075	0.000000	0.161433	0.000000
u247	ISPD	0.000000	0.248561	0.000000	0.000000	0.000000
u248	ITPR2	0.000000	0.000000	0.122980	0.814655	0.000000
u249	JAM3	0.000000	0.000000	0.194575	0.792743	0.011232
u250	JAZF1	0.000000	0.169178	0.061020	0.195823	0.305892
u251	KANK3	0.000000	0.000000	0.000000	0.003670	1.477266
u252	KANSL1	0.000000	0.204306	0.195367	0.221789	0.000000
u253	KAT7	0.000000	0.128843	0.129979	0.000000	-0.000000
u254	KAZN	0.002099	0.194427	0.000000	0.445818	0.000000
u255	KCNA6	0.000000	0.000000	0.425613	0.297933	0.000000
u256	KCND1	0.295618	0.078914	0.000000	0.000000	0.000000
u257	KCNJ3	0.000000	0.287878	0.023204	0.000000	0.000000
u258	KCNK1	0.000000	0.418672	0.288167	0.000000	0.000000
u259	KCNK6	0.000000	0.190745	0.537691	0.000000	0.000000
u260	KCNMA1	0.196813	0.197499	0.068956	0.000000	0.000000
u261	KIAA0754	0.000000	0.219607	0.094636	0.000000	-0.000000
u262	KIAA1147	0.000000	0.262887	0.190939	0.114450	0.000000
u263	KIAA1161	0.000000	0.000003	0.018899	0.000000	1.535878
u264	KIAA1598	0.044494	0.500693	0.018059	0.000000	0.000000
u265	KIAA1731NL	0.000000	0.261997	0.000000	0.000000	-0.000000
u266	KIF19	0.000000	0.273180	0.000000	0.000000	0.000000
u267	KRBOX4	0.000000	0.196491	0.113867	0.000000	0.000000
u268	KRTAP9-4	0.299481	0.000000	0.156213	0.000000	0.000000
u269	KYNU	0.301762	0.000000	0.000000	0.000000	-0.000000
u270	LCE2D	0.000000	0.189192	0.018747	0.000000	0.000000
u271	LDHAL6A	0.000000	0.000000	0.001686	0.000000	1.791774
u272	LEFTY2	0.000000	0.059328	0.000000	1.022763	0.000000
u273	LEKR1	0.197004	0.000000	0.057349	0.000000	0.000000
u274	LEPROTL1	0.000000	0.008503	0.026847	0.000000	1.397002
u275	LGALS7	0.000000	0.079668	0.198512	0.560580	0.000000
u276	LIF	0.493642	0.000000	0.000000	0.000000	0.000000
u277	LINC00493	0.000000	0.082394	0.019705	0.897776	0.248228
u278	LINGO1	0.297468	0.000000	0.174019	0.175818	0.000000
u279	LIPF	0.000000	0.204036	0.000000	0.026780	0.000000
u280	LMTK3	0.205985	0.000000	0.000000	0.000000	0.000000
u281	LNP1	0.000000	0.039793	0.280922	0.266304	0.000000
u282	LOC100128075	0.120276	0.000000	0.088805	0.599224	0.000000
u283	LOC100128668	0.110434	0.167513	0.000000	0.000000	0.000000
u284	LOC100129275	0.000000	0.000000	0.430124	0.286862	0.000000
u285	LOC100129900	0.188937	0.209187	0.000000	0.087375	0.000000
u286	LOC100130357	0.000000	0.136716	0.000000	0.067462	0.000000
u287	LOC100130451	0.000000	0.145557	0.258955	0.000000	0.000000
u288	LOC100130880	0.202084	0.000000	0.000000	0.000000	0.000000
u289	LOC100131826	0.262868	0.000000	0.000000	0.000000	-0.000000
u290	LOC100288842	0.000000	0.018771	0.208114	0.391009	0.113421
u291	LOC100505549	0.000000	0.138796	0.053634	0.000000	0.000000
u292	LOC100507209	0.000000	0.274945	0.000000	0.247480	0.000000
u293	LOC100509780	0.188732	0.001061	0.000000	0.000000	0.000000
u294	LOC101929076	0.196100	0.000000	0.000000	0.000000	0.000000
u295	LOC153811	0.000000	0.000000	0.000000	0.908107	0.283451
u296	LOC650293	0.000000	0.000000	0.541452	0.167708	0.000000
u297	LOC728392	0.000000	0.000000	0.425605	0.353811	0.031153
u298	LOC728554	0.000000	0.000000	0.017387	0.000000	1.475252
u299	LRRCC1	0.000000	0.072637	0.252914	0.282164	0.000000
u300	LRRK2	0.000000	0.225653	0.249513	0.000000	0.000000
u301	LSG1	0.000000	0.175233	0.014511	0.380659	0.000000
u302	LZTS2	0.000000	0.000000	0.000000	0.000000	1.852779
u303	MAB21L1	0.000000	0.268234	0.359672	0.000000	0.000000
u304	MACF1	0.000000	0.000000	0.977617	0.003300	0.190196
u305	MAD1L1	0.050018	0.182719	0.037699	0.000000	0.000000
u306	MAGED4B	0.408461	0.000000	0.000000	-0.000000	-0.000662
u307	MAP1B	0.000000	0.000000	0.723890	0.212696	0.000000
u308	MAP6	0.000000	0.000000	0.000000	0.786190	0.288259
u309	MAPRE2	0.000000	0.114512	0.642361	0.000000	0.000000
u310	MAST4	0.457753	0.058604	0.000000	0.000000	0.000000
u311	MBL2	0.126731	0.156143	0.000000	0.000000	0.000000
u312	MCEMP1	0.000000	0.000000	0.332373	0.306343	0.133984
u313	MDGA1	0.000000	0.042670	0.524811	0.023202	0.000000
u314	MGAT4C	0.359838	0.000000	0.135743	0.229273	0.000000
u315	MGC24103	0.184271	0.000000	0.046636	0.000000	0.000000
u316	MIA	0.516523	0.076853	0.000000	0.000000	0.000000
u317	MINPP1	0.000000	0.779287	0.000000	0.043353	0.000000
u318	MITF	0.000000	0.089517	0.129209	0.622270	0.000000
u319	MKL2	0.000000	0.264492	0.144491	0.472397	0.000000
u320	MMP2	0.596186	0.000000	0.000000	0.000000	0.000000
u321	MOBP	0.000000	0.236748	0.149015	0.006309	0.000000
u322	MOK	0.445873	0.000000	0.000000	0.000000	0.000000
u323	MORF4L1	0.000000	0.000096	0.373623	0.475231	0.000000
u324	MPRIP	0.000000	0.322168	0.083940	0.195962	0.000000
u325	MRC2	0.000000	1.372289	0.000000	0.041673	0.000000
u326	MS4A1	0.000000	0.274109	0.000000	0.258624	0.000000
u327	MS4A4E	0.429926	0.000000	0.000000	0.000000	0.000000
u328	MUC20	0.129177	0.127932	0.008801	0.000000	0.000000
u329	MUC6	0.179331	0.000000	0.175377	0.382898	0.000000
u330	MYF5	0.000000	0.250946	0.021656	0.184945	0.000000
u331	MYLK	0.000000	0.775028	0.000000	0.044103	0.000000
u332	MYLK4	0.152116	0.017010	0.000000	0.244141	0.000000
u333	MYOCD	0.000000	0.854964	0.000000	0.000000	0.446220
u334	NBEAL1	0.000000	0.135918	0.192455	0.390285	0.000000
u335	NCKAP5	0.068040	0.200782	0.171383	0.233331	0.000000
u336	NEB	0.000000	0.657260	0.000000	0.000000	0.000000
u337	NEK1	0.000000	0.000000	0.000000	0.934102	0.000000
u338	NES	0.000000	0.054046	0.084966	0.000000	1.445742
u339	NEUROD2	0.000000	0.184132	0.000000	0.241548	0.000000
u340	NKAIN3	0.201857	0.154708	0.000000	0.000000	0.000000
u341	NLRP11	0.039173	0.000000	0.187541	0.000000	0.000000
u342	NNT	0.000000	0.272517	0.000000	0.000000	-0.000000
u343	NOTCH1	-7.173470	-14.103114	28.086967	-2.895200	-2.134005
u344	NPAS3	0.103929	0.097472	0.000000	0.000000	0.000000
u345	NPM2	0.000000	0.270083	0.000000	0.000000	0.000000
u346	NPTN	0.254914	0.009760	0.107395	0.168639	0.000000
u347	NPW	0.154604	0.024041	0.203859	0.000000	-0.000000
u348	NR1I3	0.414132	0.000000	0.000000	0.000000	0.000000
u349	NRK	0.026065	0.300132	0.000000	0.000000	-0.000000
u350	NRXN1	0.279334	0.182642	0.000000	0.000000	0.000000
u351	NSMCE2	0.467127	0.043614	0.000000	0.000000	0.000000
u352	NTM	0.351588	0.000000	0.000000	0.000000	-0.000000
u353	NTN1	0.105283	0.120611	0.000000	0.412226	0.000000
u354	NUPL2	-15.310956	-11.085493	-1.265248	45.518332	-16.022153
u355	NXF1	0.000000	0.052061	0.236375	0.204817	0.000000
u356	OGFRL1	0.000000	0.033243	0.089154	0.747435	0.098263
u357	OR10H5	0.000000	0.146282	0.077193	0.000000	0.000000
u358	OR2AT4	0.009467	0.096629	0.126584	0.000000	0.000000
u359	OR51A2	0.028974	0.000000	0.299483	0.000000	0.000000
u360	OR51G2	0.000000	0.145612	0.233395	0.292813	0.000000
u361	OR51I1	0.000000	0.040525	0.329171	0.191661	0.000000
u362	OR52K2	0.000000	0.000000	0.544023	0.327032	0.065931
u363	OR8H3	0.255572	0.258909	0.000000	0.000000	0.000000
u364	OSBP2	0.000000	0.184369	0.253884	0.619363	0.000000
u365	OSBPL5	0.000000	0.000000	0.867106	0.019701	0.104810
u366	OSGIN2	0.000000	0.000000	0.721322	0.135842	0.000000
u367	P2RX2	0.000000	0.000000	0.351832	0.588342	0.000000
u368	PAG1	0.000000	0.000000	0.000000	0.771045	0.000000
u369	PAICS	0.287501	0.000000	0.000000	0.000000	0.000000
u370	PAK1	0.149084	0.000000	0.303475	0.264176	0.000000
u371	PANX1	0.000000	0.249949	0.158658	0.413324	0.000000
u372	PAPD5	0.000000	0.163783	0.029134	0.000000	0.000000
u373	PAPL	0.000000	0.000000	0.000042	0.000000	1.774702
u374	PARD3B	0.000000	0.002025	0.361553	0.460911	0.074063
u375	PAXBP1	0.000000	0.801813	0.000000	0.031162	0.006070
u376	PBX3	0.000000	0.215127	0.370781	0.136090	0.000000
u377	PCDH8	0.225961	0.000000	0.000000	0.000000	-0.000000
u378	PCDHB6	0.331176	0.000000	0.000000	0.000000	-0.000000
u379	PCDHGA8	0.000000	0.330438	0.000000	0.000000	0.000000
u380	PCOLCE2	0.000000	0.122663	0.154550	0.358913	0.073985
u381	PCSK6	0.000000	0.013672	0.486403	0.447543	0.000000
u382	PDE2A	0.000000	0.000000	0.212246	0.675284	0.129129
u383	PDE4D	0.000000	0.443373	0.000000	0.000000	-0.000000
u384	PDE9A	0.000000	0.000000	0.000000	0.853850	0.390305
u385	PDIA2	0.000000	0.129517	0.065644	0.000000	0.000000
u386	PDIA3	-6.264079	27.270578	-11.333758	-7.923392	0.000000
u387	PDPN	0.000000	0.000000	0.036208	0.000000	1.387621
u388	PDS5A	0.000000	0.182837	0.174792	0.000000	0.000000
u389	PHACTR2	0.000000	0.286884	0.000000	0.000000	0.000000
u390	PHF20L1	0.041673	0.313266	0.000000	0.000000	-0.000000
u391	PHLDB2	0.000000	0.533032	0.000000	0.101660	0.000000
u392	PIRT	0.003016	0.083046	0.093643	0.000000	0.000000
u393	PKD1L1	0.000000	0.547236	0.019929	0.000000	0.000000
u394	PKD2	0.218435	0.000000	0.175196	0.000000	0.000000
u395	PLCB2	0.000000	0.129689	0.239085	0.366971	0.000000
u396	PLEKHG4B	0.000000	0.000000	0.274529	0.489433	0.000000
u397	PLEKHH1	0.000000	0.000000	0.405217	0.486936	0.018624
u398	PLG	0.028400	0.160099	0.408806	0.233088	0.000000
u399	PLGLB1	0.000000	0.327602	0.000000	0.268258	0.000000
u400	PLP1	0.154177	0.266876	0.000000	0.070420	0.000000
u401	PLXDC1	0.000000	0.287526	0.000000	0.794710	0.000000
u402	PLXNA4	0.224542	0.068223	0.000000	0.000000	0.000000
u403	PMEPA1	0.000000	0.295188	0.181848	0.110404	0.000000
u404	PNMA2	0.489610	0.000000	0.000000	0.000000	0.000000
u405	PODN	0.000000	0.086610	0.000000	0.885735	0.000000
u406	POLN	0.265864	0.000000	0.000000	0.000000	0.000000
u407	POLR3G	0.209038	0.000000	0.000000	0.000000	-0.000000
u408	POU5F1	0.281876	0.000000	0.209128	0.000000	0.000000
