d1	GeneSymbol	Case1	Case2	Case3	control1	control2	control3
d25	C10orf120	4.8934135	4.733072	5.0686836	5.3527684	5.450914	5.229618
d26	C12orf57	9.63334	9.94607	9.953916	10.158688	10.454777	10.271563
d27	C14orf2	9.369315	9.250396	9.204838	9.782337	9.743568	9.643575
d28	C17orf64	1.035266	0.9423355	1.0668173	1.6787215	1.6254065	1.23217
d29	C1orf194	3.7377715	3.839856	3.6493607	4.3002696	4.1468744	4.2836914
d30	CACNG8	5.017848	4.590126	4.763981	5.192063	5.200939	5.2779927
d31	CADM3	3.642443	3.3031306	3.3786523	3.9646177	3.7154324	4.0833197
d32	CALCR	2.6317623	2.8765879	2.1337144	3.0211341	3.179402	3.1293383
d33	CAMK1D	4.305225	4.6908603	4.837841	5.369937	5.006533	5.039611
d34	CC2D1B	5.481018	5.1343765	5.2984295	5.5732927	5.829138	5.875143
d35	CCDC136	5.0180616	5.346739	4.9164734	5.3376117	5.749824	5.666871
d36	CDA	7.250408	7.562389	7.7510653	8.037041	7.8554997	7.85424
d37	CDH18	3.2055397	3.6295872	3.1527874	3.988401	4.0862284	3.613561
d38	CDH3	5.1566105	5.4596	5.253489	5.894875	5.791708	5.5554976
d39	CECR5	8.187452	7.9621687	8.565429	8.662006	8.640179	8.698617
d40	CELF5	7.2838287	7.5249395	7.5608435	7.593422	8.06917	7.898456
d41	CENPQ	6.9458547	6.5736494	6.686747	7.2430983	7.239135	6.959854
d42	CEP89	4.684363	4.4946804	4.8649755	5.040185	5.3530655	4.919766
d43	CEPT1	5.7671213	6.1722183	5.7668357	6.0908737	6.531764	6.6265364
d44	CFAP46	4.4133625	4.290954	4.496599	4.622521	4.978714	4.828597
d45	CHCHD1	7.4626927	7.9211297	7.700551	7.9608054	8.297731	8.095905
d46	CHRDL2	4.0037613	4.0176606	3.8201823	4.594612	4.590753	4.3163056
d47	CLDND2	3.5438435	3.7807736	3.329726	4.1254587	3.773261	3.9726398
d48	CLEC2D	10.404451	10.357243	10.142209	10.44029	10.871603	10.796452
d49	CLLU1OS	4.049324	4.5567417	4.483026	4.763727	5.055835	4.874489
d50	COA3	10.549798	10.671188	10.65319	10.872741	11.158943	11.064112
d51	COMMD8	7.344725	7.373226	7.4846315	7.798834	8.070242	7.571166
d52	COQ9	4.1678824	3.9090414	3.9546394	4.1750584	4.5374393	4.7307568
d53	CYP2F1	3.8033788	3.8380167	3.8772619	4.1659007	4.3648996	4.2937126
d54	DAZAP2	4.933829	5.106189	5.0182543	5.3045135	5.496333	5.6512985
d55	DHCR24	3.4907918	2.8202846	3.457342	3.908753	3.7697725	3.7159026
d56	DHRS1	3.2328854	3.061163	3.00096	3.428377	3.8321342	3.522955
d57	DMPK	4.0288925	4.0473104	4.459428	4.5058193	4.9741583	4.574365
d58	DNASE1L2	3.916028	3.8030648	3.7501047	4.314179	4.012945	4.2953773
d59	DNPEP	8.684783	8.899293	8.802135	9.1703005	9.141765	9.308765
d60	E2F5	4.462887	4.601157	4.569146	4.9054403	5.1581216	4.927995
d61	EBP	6.6259747	7.148216	6.9737234	7.274744	7.5583363	7.4457273
d62	EEF1B2	8.897698	8.804279	9.0271225	9.137865	9.737177	9.511707
d63	EEF1D	10.829114	10.984947	10.847162	11.010947	11.4749565	11.374352
d64	EIF3H	8.918809	8.844932	8.98531	9.197549	9.591759	9.423389
d65	ENTPD1	2.5318604	2.7555928	2.844746	3.1844914	3.383708	3.00188
d66	ESD	8.55863	8.962105	8.563751	9.149218	9.183457	9.039333
d67	ESRRB	8.166636	8.625147	8.37298	8.8840275	8.784967	8.940542
d68	ETV3	3.7521408	3.8964448	3.6596513	4.012412	4.080426	4.5297337
d69	FAM96A	10.739266	10.534344	10.98033	11.136422	11.243457	11.167688
d70	FBF1	4.4806795	4.181513	4.451255	4.596878	5.082947	4.7945566
d71	FGF1	8.971105	8.472512	8.786433	9.085988	9.173016	9.115089
d72	FITM1	9.212641	9.397872	9.520359	9.569674	10.070736	9.860096
d73	FKBP6	3.0141058	2.8682747	3.0088422	3.197613	3.444195	3.5107253
d74	FRG2C	6.6050706	6.7632275	6.7765317	7.1755676	7.079573	7.257664
d75	FYCO1	3.839856	4.082968	4.387894	4.378618	4.7190633	4.768521
d76	GALK1	5.61044	5.60794	5.745872	5.9274483	6.0296907	6.3412123
d77	GCGR	5.3052473	5.8000345	5.623943	5.8985267	6.2664914	6.0015907
d78	GCHFR	4.804001	5.0082784	4.898849	5.270539	5.384944	5.22369
d79	GCM1	6.596543	6.8509207	6.979364	7.249427	7.1336	7.342884
d80	GDPD4	4.5104575	4.5782514	4.602439	5.0617003	5.1116037	5.2012596
d81	GEMIN7	5.858983	5.980367	5.769267	6.040846	6.258957	6.4728622
d82	GIN1	7.1214123	7.860116	7.47942	8.037573	8.101816	8.026065
d83	GLB1L3	4.812917	4.5058923	4.4487886	5.1066575	4.9112663	5.1587157
d84	GLRA1	6.2380867	6.2643356	6.547911	6.726947	6.9179587	6.768437
d85	GPHN	4.7788687	5.167605	5.14847	5.565763	5.596143	5.5915804
d86	HAT1	7.3672767	7.7563014	7.516756	7.93522	8.133738	7.7784386
d87	HEPN1	3.211529	3.0231907	3.1950338	3.5129364	3.5730543	3.5756145
d88	HEY1	5.8888597	5.7664776	5.8233123	6.363703	6.251815	6.06767
d89	HFM1	4.307604	4.3880696	3.9314268	4.4993715	4.8827763	4.9423895
d90	HIP1R	6.257036	6.2122884	6.0968456	6.4567986	6.782434	6.609538
d91	HIST1H4C	2.5334437	2.5304747	2.2867594	2.8942738	3.1719086	2.6735811
d92	HLA-DOA	3.9646177	4.08554	3.8280802	4.602331	4.115528	4.4466057
d93	HN1L	7.146629	7.2755823	6.7980742	7.427606	7.4578342	7.5445323
d94	HPX	3.2485356	3.0852904	3.7018452	3.7530758	4.097894	3.906652
d95	ICAM5	8.442776	8.569688	8.585552	8.648325	9.151016	9.151464
d96	IDH3A	11.072432	11.331192	11.215014	11.861975	11.41897	11.734276
d97	IGDCC3	5.1401644	4.9523416	5.048672	5.352647	5.4721565	5.534306
d98	IGFALS	5.7332935	5.7033486	5.653079	6.1519275	6.4911776	6.1350307
d99	IL19	5.643535	5.1850343	5.6559196	6.0174522	5.952504	6.127371
d100	IMPA1	5.828609	5.9420853	5.880542	6.5307903	6.2880993	6.1323156
d101	INHBE	7.7968006	8.234379	8.080991	8.250781	8.589704	8.606937
d102	IQGAP2	4.0224566	4.3690066	4.5863104	4.6097546	5.080282	4.978546
d103	ITGAX	8.112029	8.294359	8.414655	8.445936	8.826045	8.828854
d104	ITIH1	6.159031	5.69559	6.227809	6.394325	6.634256	6.767024
d105	JOSD2	5.252669	4.9828944	4.8535805	5.533159	5.3144045	5.3878894
d106	KIF17	7.0202427	7.0498567	7.3382306	7.4010973	7.915322	7.7890563
d107	KLK8	4.5836496	4.3310723	4.3551526	4.8359194	4.9484587	4.981317
d108	KRT71	5.7469044	5.8683696	5.7529135	6.0702677	6.391656	6.238138
d109	KRTAP19-7	4.5797467	4.4237556	4.839778	5.0698514	5.0465193	4.935845
d110	KRTAP29-1	5.4272046	5.063109	4.837556	5.44699	5.685643	5.6838446
d111	KRTAP5-9	6.4632764	6.6880174	6.556862	6.844599	7.16137	6.970128
d112	L3MBTL2	8.10121	7.921587	7.8734646	8.133122	8.372481	8.531698
d113	LETM2	6.927036	7.0245237	7.135125	7.2583675	7.6248546	7.421906
d114	LILRA2	4.519326	4.140495	4.0988564	4.662834	4.56221	5.1648397
d115	LILRA5	4.9258957	5.08229	4.938029	5.6658344	5.2264886	5.471365
d116	LOC100132481	7.657763	7.934534	7.819317	7.99876	8.362591	8.289312
d117	LOC101928898	3.5044165	3.7193365	3.901448	4.051424	4.348889	4.192645
d118	LOC403312	2.1787052	2.04627	2.10368	2.6313725	2.6397843	2.205292
d119	LOC728763	5.0875535	5.3052473	4.8869495	5.3535275	5.705382	5.708264
d120	MAMDC4	6.5258694	6.652643	6.712576	6.8527074	7.3853426	7.053939
d121	MED8	6.329605	5.9513974	5.907436	6.3111925	6.4483724	6.5859127
d122	MFF	7.805182	8.2354355	8.150911	8.368637	8.630917	8.599562
d123	MLF1	9.222533	9.1755905	9.151464	9.78026	9.589492	9.720842
d124	MRPS34	8.643165	8.742775	8.768079	8.892813	9.239941	9.209878
d125	MT1G	4.933239	5.1715326	5.2193003	5.366929	5.6067214	5.712042
d126	MTMR8	4.7791066	4.7253437	4.5459146	4.890383	5.1684337	5.265696
d127	MUC3	6.6944475	7.042493	6.9266176	7.3775992	7.5542746	7.0931196
d128	MYBPHL	3.090109	3.6229968	3.2403302	3.8366654	3.7189236	3.6936293
d129	MYOM1	13.000397	13.170439	13.341022	13.299606	13.846709	13.807322
d130	NAGK	8.471787	8.272351	8.1341715	8.577916	8.87057	8.686388
d131	NCAN	4.5002394	4.4288077	4.601515	4.9010444	4.9167585	4.8624835
d132	NDRG4	10.897528	10.857184	10.917863	11.135165	11.274818	11.4385195
d133	NDUFA6	10.510345	10.887941	10.837269	11.152843	11.242594	11.016278
d134	NDUFAF4	10.084807	10.393501	10.4742985	10.763095	10.633925	10.728433
d135	NHEJ1	5.2622194	5.2063117	5.23297	5.38332	5.773752	5.942684
d136	NHP2L1	9.895454	9.867363	9.993161	10.140496	10.485138	10.381339
d137	NIPSNAP3A	7.9603424	8.004265	7.7888784	8.38685	8.558158	8.207135
d138	NIT1	6.5498624	6.306409	6.4706717	6.614106	6.959983	6.920945
d139	NMNAT3	4.1473203	4.1263547	4.640784	4.8637223	5.138869	4.5798445
d140	NOP16	5.983418	6.535567	6.0987215	6.8078876	6.498612	6.673783
d141	NPM1	10.246211	10.217901	10.064649	10.336144	10.726678	10.709467
d142	NR6A1	7.7223897	7.885388	7.9603424	8.180541	8.255487	8.420942
d143	NXF2	5.6238766	5.662959	5.720592	5.9499993	6.2737255	6.201645
d144	OMA1	8.694257	8.892578	9.3082	9.317144	9.538117	9.517221
d145	OOEP	3.3301713	3.043722	3.3675563	3.9469447	3.5032895	3.7328897
d146	OR10G4	4.627554	4.984619	4.7525	5.4044104	5.2686024	5.1324735
d147	OR13C5	1.3632473	1.7041166	1.5085914	2.1301706	1.9241143	1.8183031
d148	OR14C36	0.91917604	1.0038582	0.9496373	1.5391258	1.5065243	1.3392013
d149	OR1A2	2.8467772	3.0902638	3.003588	3.3698642	3.206397	3.665355
d150	OR2F2	3.8141894	3.5544481	3.722065	4.1846523	4.146952	4.2489567
d151	OR2T4	3.810177	4.118931	3.9647553	4.4875016	4.44973	4.6037583
d152	OR4A15	7.164437	7.405362	7.2492876	7.4368696	7.841916	7.8186846
d153	OR5M11	3.3270168	3.095164	2.9384673	3.7373605	3.5135865	3.555678
d154	OR7A17	4.327816	4.463119	3.9722066	4.6911817	4.6009765	4.6809907
d155	OR8B3	5.7342315	5.799824	5.930354	5.9807544	6.2382627	6.4458423
d156	ORMDL2	4.4447117	4.607568	4.793864	4.9102716	5.2603326	4.999033
d157	OTP	2.8669653	3.2874544	2.9990766	3.5394418	3.4809318	3.434935
d158	PARM1	8.706827	8.23055	8.380055	8.710965	8.905929	9.104263
d159	PCK2	6.2198725	5.79238	6.2451816	6.580589	6.679522	6.539377
d160	PCNXL2	3.106605	2.9991856	3.5301738	3.6427996	3.6815555	3.986344
d161	PDCD10	6.4012394	6.7491617	6.5573716	6.9495215	7.082745	6.869376
d162	PFDN5	9.342302	9.619327	9.325938	9.7355795	9.92777	9.781686
d163	PGC	3.817494	3.849667	4.365344	4.2889447	4.565494	4.663452
d164	PIGM	3.0878491	3.7702675	3.4076736	3.9448156	4.0207605	3.8925056
d165	PIK3C2G	3.4231834	3.4785824	3.2770875	3.6842263	3.9205592	3.9570594
d166	PKP1	5.349992	5.3464274	5.534888	5.9214196	5.866906	5.931706
d167	PLAC1	4.618334	4.391545	4.05738	4.89014	5.0092945	4.7320886
d168	PLEKHJ1	7.552582	7.8970404	7.763319	8.065876	8.2450485	8.115886
d169	POLR3D	6.741354	6.339923	6.4898524	6.8435335	7.052287	6.9768457
d170	PPAN-P2RY11	3.7573013	3.5506592	3.9646826	4.1026006	4.25049	4.2775755
d171	PPARA	7.895222	8.02389	7.9475174	8.335683	8.334885	8.567198
d172	PPP2R3C	8.405621	8.241609	8.4876795	8.60568	8.838533	8.881992
d173	PPP4R2	9.777414	9.588289	9.466653	9.860096	10.237757	9.9516945
d174	PRDM1	3.0819175	2.991355	2.926921	3.1528091	3.4317164	3.5534024
d175	PREB	3.0504208	3.386004	3.2681894	3.7624621	3.5023293	3.77428
d176	PRSS22	4.761194	4.710127	5.086698	5.4814506	5.2255726	5.065532
d177	PSG8	3.405926	3.953493	3.6428394	4.0185604	4.0535693	4.131441
d178	PSMB10	7.228212	7.427255	7.3925056	7.874374	7.709339	7.8280497
d179	PVR	9.449991	9.347913	9.680477	10.074358	10.018452	10.1123705
d180	QTRT1	6.558047	6.534629	6.6836343	6.9849234	7.0414343	7.0459466
d181	RAB27A	6.7130213	6.517899	6.3839083	7.0870185	6.725425	7.2244434
d182	RABL2B	3.2408438	3.034044	3.278005	3.735113	3.7660565	3.406588
d183	RAD23A	4.211912	4.4280677	4.2278647	4.797531	4.65874	4.88052
d184	REG1A	4.8291855	5.3516	5.247543	5.576284	5.757339	5.724789
d185	RFX8	3.5583608	3.7594562	3.7615438	4.314045	4.0746207	4.230224
d186	RILP	9.468489	9.374536	9.653154	9.740452	10.114944	10.193151
d187	RIPK3	4.4984813	3.9200683	4.3100595	5.0207443	4.6265125	4.6129713
d188	RNASE2	1.3970199	1.7331239	1.3451877	2.1615784	1.9980087	1.9538702
d189	RNF167	5.6384535	6.121879	5.7927613	6.2282267	6.4140224	6.467749
d190	RNF220	7.585609	7.902342	7.8184485	7.9807453	8.34352	8.204129
d191	RNF5	10.862709	11.112362	10.957878	11.213215	11.5417595	11.391156
d192	RPAIN	8.128777	7.963515	7.6233115	8.181766	8.555175	8.31432
d193	RPL10	14.28566	14.178859	13.964905	14.379213	14.589629	14.825097
d194	RPL10L	12.925514	12.839813	12.721929	13.053961	13.381281	13.554543
d195	RPL17	10.144901	9.847847	9.756784	10.203341	10.51218	10.428587
d196	RPL21	9.577244	10.018452	9.626566	10.039879	10.389898	10.369176
d197	RPL26	12.000561	12.202781	11.722508	12.222025	12.707825	12.637218
d198	RPL27	9.304327	9.418047	9.193443	9.512699	9.904683	9.876158
d199	RPL27A	4.6911817	4.7770734	4.5154405	5.1735635	5.169513	5.1038427
d200	RPL29	12.381998	12.444903	12.029295	12.489116	12.853625	12.884331
d201	RPL31	11.94533	12.158605	11.669398	12.142276	12.51801	12.421616
d202	RPL34	11.986751	12.304987	11.87555	12.320522	12.729493	12.666132
d203	RPL35	10.728433	11.143143	10.629422	11.163426	11.417973	11.437008
d204	RPL39	9.088157	9.371088	8.863815	9.368131	9.792889	9.704675
d205	RPL7	9.471789	9.652946	9.127939	9.764841	10.158688	10.034809
d206	RPS14	11.450839	11.3890295	11.3150625	11.584024	12.191986	12.000561
d207	RPS15A	5.9019904	5.9703765	5.9672303	6.2791486	6.475392	6.2261324
d208	RPS24	12.697629	12.625264	12.266723	12.842118	13.220218	13.157537
d209	RPS27A	11.104809	11.185519	10.922819	11.224891	11.7239275	11.623568
d210	RPS28	15.136153	15.063871	14.994346	15.246353	15.818034	15.573435
d211	RPS29	12.158507	12.469227	12.035923	12.453071	12.953438	12.953438
d212	RPS6KA1	1.9686332	1.8297734	2.476488	2.4620907	2.8901336	2.6073163
d213	RPS7	12.047237	12.219811	11.709913	12.229504	12.610693	12.500608
d214	RSL1D1	9.244818	9.524305	9.427031	9.628316	9.943286	9.819007
d215	RSL24D1	7.581596	7.868501	7.465925	7.8587027	8.260943	8.245587
d216	RTP5	3.0858974	2.837804	2.8015146	3.4077275	3.2494402	3.2467842
d217	RUNX2	5.5064626	5.38232	5.439503	5.960383	6.060773	5.627759
d218	SAMM50	3.3586001	3.2895458	3.1463149	3.5552974	3.7987494	3.5874796
d219	SBNO2	5.547828	5.7071495	5.493222	6.0805516	5.70496	6.1381197
d220	SDHB	10.101713	10.314975	10.395135	10.735036	10.571922	10.6578245
d221	SERPINB11	4.465041	4.5833178	4.6332464	4.9914494	4.921268	4.9516993
d222	SIRPB2	5.60751	5.6639786	5.586912	5.7746806	6.274123	6.1638794
d223	SIRPD	6.2007113	6.0925694	6.552003	6.577187	7.037685	6.9612093
d224	SKOR2	4.161392	4.3931713	4.2461605	4.6240554	5.004594	4.918928
d225	SLC18A1	4.26401	4.496516	4.406892	4.6548004	4.881072	4.957512
d226	SLC22A23	8.11029	8.100513	8.389882	8.453821	8.693282	8.664141
d227	SLC22A24	3.3794181	3.4662695	3.5301144	3.94927	4.067961	3.8631098
d228	SLC25A42	6.0732217	6.346505	6.5839996	6.746125	6.7256184	6.755153
d229	SLC27A3	3.3594103	3.6418962	3.7806034	3.963626	4.3010855	4.2024918
d230	SLC35G5	4.001746	4.3258424	4.201327	4.5194645	4.8273997	4.8059015
d231	SMCP	4.42799	4.485254	4.4563527	5.022251	5.026086	4.7351985
d232	SNAPC5	7.8196626	8.379028	8.159888	8.370815	8.780432	8.693282
d233	SNORA2A	3.8137076	4.0235953	3.8406937	4.823396	4.2072353	4.3345237
d234	SPACA5	5.2071395	5.2854495	5.3064775	5.625269	5.643931	5.7891073
d235	SPRED3	7.781806	7.8136005	8.116961	8.173854	8.588099	8.687478
d236	SRRM3	5.6101236	5.7913475	5.832307	6.3185954	6.0100718	6.125836
d237	SSNA1	8.7364025	9.117006	8.895393	9.127939	9.563601	9.483547
d238	STAB1	6.165666	5.476477	5.7209153	6.1583495	6.481818	6.3173275
d239	SYS1	6.2152185	6.2857203	6.310014	6.7223616	6.5566497	6.765088
d240	TAL2	4.3590684	4.5211124	4.60958	5.028812	5.1815906	4.6814785
d241	TAS1R3	3.9360979	3.842639	3.9078662	4.1718307	4.5615067	4.5455503
d242	TDRD10	8.022004	8.02714	8.0915785	8.414759	8.439918	8.428608
d243	TFAP2C	3.7097883	3.164441	3.1928186	3.9236052	3.8025544	3.8043394
d244	THAP7	5.648185	5.499264	5.467987	5.8773055	5.995936	6.0557613
d245	TKTL1	7.641258	7.5962486	7.8464828	8.067299	8.433572	8.195265
d246	TM4SF4	3.5719957	3.6504564	4.2535353	4.4322524	4.3347096	4.3402076
d247	TMEM114	6.035941	6.3566623	6.109007	6.4441295	6.570274	6.893456
d248	TMEM126B	9.057152	9.155005	9.279204	9.487136	9.757574	9.657824
d249	TMEM141	9.127563	9.064865	8.831514	9.445152	9.777677	9.461909
d250	TMEM208	6.513224	6.518633	6.290163	6.7797127	6.8833485	6.8585324
d251	TMEM217	4.3363466	4.5433254	4.5925303	4.9390645	4.8374453	5.0310955
d252	TPTE	6.1031666	6.2380867	6.4569807	6.4181514	6.9349623	7.115803
d253	TREM1	4.2215614	3.949192	3.771921	4.525573	4.2254796	4.807945
d254	TRIAP1	5.5720663	5.879886	5.4439797	6.1216416	5.9853663	6.1224155
d255	TRIM11	4.945954	4.7777967	4.987724	5.3118258	5.6231775	5.492306
d256	TRIM3	3.3107474	3.3691058	3.2448027	3.8417714	3.9281003	3.5621064
d257	TRIM42	3.869385	3.9554248	4.098019	4.269211	4.39534	4.712047
d258	TRNAU1AP	4.0533996	3.7157025	3.785722	4.2650933	4.145838	4.3015785
d259	TSFM	8.320473	8.598696	8.608134	8.970659	8.861929	9.178911
d260	TTC36	5.812677	5.9002585	5.824167	6.0384364	6.5631695	6.2470617
d261	TTC39C	7.7876205	7.8498726	7.82961	8.065533	8.40712	8.39049
d262	UBQLN4	4.2705207	4.178837	4.712666	4.704667	4.8534174	4.946739
d263	UMODL1	3.6468415	3.4954882	3.7060115	4.061124	4.3377576	3.9800353
d264	USP44	3.179339	3.4781013	3.4484985	3.5457897	3.8456585	3.8790264
d265	VAMP8	6.5368977	6.357982	6.5473647	7.0070934	6.6626253	7.055969
d266	VASH2	7.2850676	7.291014	7.609733	7.6865416	7.957435	8.00963
d267	VILL	3.94927	3.7602892	3.6842263	4.159246	4.2973857	4.167954
d268	WDR60	5.8326354	5.422046	5.6768227	5.956642	6.0899625	6.129951
d269	YBEY	3.5725443	3.9289987	3.6282969	4.2467337	4.2263308	4.120537
d270	YBX1	13.739454	13.641193	13.805065	13.999868	14.416268	14.306405
d271	ZBTB48	5.054263	4.8949575	5.170693	5.361636	5.7087917	5.486175
d272	ZC3H18	4.7779126	5.2913513	5.053256	5.31947	5.4888473	5.631508
d273	ZIC2	6.4406834	6.6553917	6.5082564	6.7982855	7.3686447	7.0246844
d274	ZNF385D	1.0677285	1.0637116	1.1113055	1.6869441	1.8086622	1.3153923
d275	ZNF419	2.838425	3.4047925	3.0673728	3.6573246	3.5595188	3.4744081
d276	ZNF480	9.173313	9.1177025	9.116348	9.382669	9.601317	9.811514
d277	ZNF491	4.9712853	5.165813	5.1578283	5.470333	5.6045785	5.5249324
d278	ZNF527	4.896505	4.868306	4.8999195	5.5018473	4.996226	5.3216105
d279	ZNF544	6.9442086	7.2276535	7.060708	7.519289	7.6489778	7.497123
d280	ZNF691	6.69795	6.932277	6.6227345	6.963321	7.382127	7.3440943
d281	ZNF782	3.902864	3.6134694	3.6569345	4.206428	4.0256352	4.1445985
d282	ZNF880	3.1204095	2.9835668	3.4558382	3.5733354	3.8394406	3.8920999
d283	ZP1	1.7002379	1.7336297	2.140861	2.5406742	2.2612338	2.4659743
d284	A2ML1	6.1249895	5.758745	6.426953	6.5758843	6.736003	6.8533773
d285	A4GNT	2.348813	2.549933	2.0800998	2.5527704	3.7154741	3.693766
d286	ACOXL	5.155092	4.24818	5.2402	5.7548842	5.8546143	5.637277
d287	ADAM32	3.875815	3.456543	3.868439	4.502462	4.1131353	4.3896875
d288	ADCK2	5.5702996	5.423401	5.3019986	6.012789	5.909974	6.23678
d289	ALDH7A1	6.2933064	6.095635	5.753632	6.525299	6.751904	6.717904
d290	ALKBH7	9.622969	9.994446	9.224693	10.171846	10.393501	10.412072
d291	AQP6	4.268809	4.529788	4.739581	5.3622227	5.371696	4.9498367
d292	ARHGAP20	2.9095418	3.0752122	3.7107255	3.9971967	4.047936	3.921086
d293	ARHGAP30	4.790807	4.533764	4.539671	5.2550683	5.325623	5.650631
d294	ARHGEF19	2.4299762	2.7821984	2.6191545	3.3502092	3.6152406	2.8150911
d295	ATP6V0A4	2.0677629	1.8959959	1.1764251	2.8181772	2.7151353	2.2868958
d296	AVPR2	3.5502925	3.3776524	3.1702142	4.1266775	4.1486197	3.7860284
d297	C12orf73	5.7877417	5.9689755	5.856402	6.5971823	6.4745283	6.6558475
d298	C14orf142	5.5315557	5.874815	5.9856443	6.401373	6.5149717	6.4448156
d299	C1orf159	2.638493	2.4763637	2.8017507	2.9747	3.6654904	3.1648912
d300	C1orf95	2.4702842	2.225936	2.1428046	2.9625645	3.1750975	3.2370038
d301	C2orf42	2.7942877	2.9389453	3.3481114	3.5699801	3.6669514	3.7253988
d302	C8orf59	2.8862698	3.3408217	2.8845606	3.980788	4.150076	3.3841758
d303	CA5B	1.671524	1.5882558	1.6345918	2.9809785	2.244262	2.4082966
d304	CABP1	4.223972	3.5873873	3.1263964	4.6610966	4.247352	4.6242123
d305	CAPN15	3.5726047	2.9707305	3.2522366	3.5850265	4.154035	4.010271
d306	CAPN6	2.601196	3.6470404	2.8314903	3.8323233	4.2238946	3.8517833
d307	CCDC36	3.0111322	3.0697877	2.718305	3.7179437	3.6240015	3.2230227
d308	CD177	4.4913354	4.6917567	4.6775007	4.9196696	5.3902526	5.3204412
d309	CD244	1.2201563	1.5615631	1.4476063	1.9602183	2.5384064	1.9833068
d310	CD274	7.6011267	8.030926	7.7498903	8.206214	8.213439	8.940784
d311	CDH10	2.7233772	2.210332	2.0809722	3.1158032	3.426659	2.7388792
d312	CENPI	4.756004	3.740996	4.384337	5.135093	5.023506	4.948709
d313	CENPT	0.87975216	0.9925435	0.90117097	2.357642	1.7205205	1.3042474
d314	CEP192	7.657523	7.7328854	7.560955	7.8848615	8.403648	8.702143
d315	CHRNA6	6.6839757	6.3737926	6.826542	7.1002827	7.5374	7.4324207
d316	CLYBL	7.7579913	7.912712	7.687296	8.258071	8.457664	8.70337
d317	COL27A1	2.009211	1.7995749	2.836855	2.7761574	3.6323214	3.2102032
d318	COQ10A	9.813484	9.6823845	10.235501	10.650487	10.503014	10.426411
d319	DCX	3.8619392	4.5215654	4.1554236	4.8029966	4.9339213	4.579327
d320	DDX49	3.175669	2.627416	2.8041432	3.3420753	3.955291	3.583366
d321	DDX50	0.88423437	1.1687592	1.0300722	1.1904613	1.9188387	2.1552677
d322	DIO3	1.1086171	1.0319782	1.456197	2.107572	2.4489787	1.9010375
d323	DKK2	5.2088666	6.5603385	6.2131796	6.9819374	7.038794	6.890847
d324	DRC7	3.0934255	3.838284	3.3789048	4.212821	4.1958027	4.125753
d325	EGFLAM	3.9621377	3.3640556	3.237459	4.197728	4.109694	4.409024
d326	EIF3E	10.750892	11.016584	10.712628	11.114734	11.678118	11.441708
d327	EIF3L	8.520303	8.323667	8.384783	8.7469635	9.256173	8.988418
d328	ELP5	8.07134	7.956074	8.246307	8.646494	8.925284	8.84213
d329	EMC9	4.564509	4.904794	4.1454678	5.357989	5.2284327	4.9033957
d330	EMID1	1.9913058	2.5894558	3.1749375	3.5023293	3.3589964	3.5245636
d331	EMR3	2.1067367	2.3462505	2.4438932	3.145681	3.027005	3.3162363
d332	EPN3	5.841118	5.4608645	5.566532	6.200945	6.0932918	6.329742
d333	ERBB3	2.231464	1.9707425	2.1756508	2.701041	3.6097803	2.6989725
d334	ESRRA	8.528593	8.829673	8.791446	9.048897	9.506101	9.366763
d335	FAM228B	7.693292	8.0773325	8.077678	8.416213	8.5788	8.671188
