u1	GeneSymbol	Case1	Case2	Case3	control1	control2	control3
u55	BOC	4.722888	4.4263515	4.4413247	4.1492324	3.7716432	3.9738278
u56	BRD7	6.89932	6.2541776	5.9962106	5.57084	5.831691	5.5473523
u57	BRE	3.4832149	3.0899718	4.0244513	1.9410313	2.9704165	2.1902943
u58	BRWD1	5.732758	5.392399	5.4743285	5.108993	4.887689	4.2501326
u59	BSDC1	2.7304363	2.7119112	2.9711185	2.6266677	2.177405	1.7625245
u60	C10orf54	7.863271	8.3600645	8.183179	7.5083437	7.8108125	7.607379
u61	C11orf24	7.9040446	8.378472	8.194038	7.5035043	7.7429667	7.5407114
u62	C12orf40	5.512808	5.5249324	5.5964713	5.085116	5.0983515	4.7239785
u63	C16orf71	4.9301224	4.760912	5.0117497	4.577343	4.2608533	4.7123213
u64	C16orf80	3.6301005	2.2590508	2.5205386	1.5317825	1.0025609	0.94914764
u65	C17orf67	2.4174144	2.43703	3.1154163	0.9979422	1.8347093	1.9595047
u66	C19orf81	4.4520645	5.137844	5.714677	3.9871683	3.0709465	2.8383627
u67	C1S	7.9059143	8.245735	8.036764	7.420976	6.5952477	7.604474
u68	C2orf15	1.5835162	1.7103623	2.550459	0.83783585	0.81231076	1.171942
u69	C2orf43	4.8119674	4.345949	4.70334	4.258951	3.7157025	4.0909405
u70	C3orf52	5.071446	4.611723	4.34036	3.9557722	4.1241856	3.3290687
u71	C5	3.3795826	1.6818308	1.8391471	1.0016404	1.0082064	1.0249157
u72	C5orf34	2.9875462	1.9952986	2.9469993	2.0109892	0.81465113	0.8089403
u73	C6orf163	3.266346	3.7305925	2.5733626	2.2459507	1.1367267	1.9075884
u74	C9orf47	1.9948971	1.6193578	2.4723637	0.80893254	0.8544939	0.8432946
u75	CA13	4.2951016	4.805458	4.512349	4.2783427	4.0656796	3.8622048
u76	CA4	7.887064	8.163092	8.038099	7.5089293	7.823791	7.3870807
u77	CAB39	4.3741107	3.7574065	3.3522608	3.3093119	2.6988697	2.6570683
u78	CACNA1B	7.0408173	7.1176534	7.4195304	6.267486	6.886202	6.2991395
u79	CACNA2D3	3.0419827	1.5448906	2.854511	1.5527905	0.92747504	0.87827134
u80	CACNB2	4.0453115	4.206761	4.1695876	3.3700814	3.3971493	3.471419
u81	CACNG4	3.822449	2.5944319	3.0185869	1.0261773	2.0720973	1.8791221
u82	CACYBP	2.505279	2.0617847	2.6549335	1.5597196	0.85353583	0.84159315
u83	CAPN10	4.1981688	4.67595	4.749412	4.297467	3.568716	3.6429923
u84	CAPZA1	7.661695	7.7387156	7.7179065	7.447386	6.974576	7.280009
u85	CARD10	7.7739587	7.7442117	7.848941	7.5107746	7.1593914	7.3880105
u86	CASC1	2.1549814	2.456758	1.9286561	0.88985217	1.8634146	1.4007105
u87	CATSPER1	1.6347365	1.5244603	2.2528126	0.83284473	0.8330112	0.84644395
u88	CBLN3	1.6855949	1.895211	1.1342609	0.83988994	1.1316156	0.8339905
u89	CBR3	1.8806636	2.8208885	2.5014083	1.0595205	1.0247203	1.5520666
u90	CCDC108	5.828224	5.6827254	5.952304	5.6687455	5.029427	5.036802
u91	CCDC125	7.7161026	7.434414	7.355083	7.322283	6.8835583	6.853196
u92	CCDC150	3.2325397	3.5266473	3.3484025	2.5974271	2.1215682	2.2557955
u93	CCDC6	6.675835	6.7689567	6.5769444	6.531855	6.068473	6.2420406
u94	CCNL1	7.564522	6.897828	6.8572693	6.6565976	6.3410387	6.490812
u95	CD200	5.2242446	5.8114557	5.231652	4.8766217	4.81859	4.370047
u96	CD207	2.3445756	2.4891524	3.4155278	0.8292794	1.5639042	1.1924046
u97	CD84	5.0992923	5.392876	4.8525863	4.7077827	4.5747733	4.408274
u98	CDH13	7.171287	7.4092636	7.6039577	6.718299	6.668891	7.0319934
u99	CDK17	4.2907567	3.892934	3.0915294	2.4902363	2.8560221	2.9231915
u100	CEACAM5	2.91589	2.2745638	2.5941586	1.9333495	1.9377973	2.071894
u101	CELF6	9.631518	9.533665	9.20674	8.805344	8.866591	9.033762
u102	CENPN	1.8444402	1.7379099	1.6502799	0.97306544	1.467117	1.0059602
u103	CEP170	2.9264345	1.8782135	2.0470567	0.79667586	1.5363421	1.3240469
u104	CERCAM	8.119143	7.549912	7.552376	7.4164944	6.9341393	6.9351864
u105	CES1	4.0988703	4.1803946	4.571431	3.5654807	1.2209151	3.0129104
u106	CES3	4.5478325	4.5384417	4.3787475	4.012995	3.945067	4.056075
u107	CHRFAM7A	3.6667163	3.3192074	3.8376703	2.898358	3.2900472	2.992907
u108	CHRM2	10.436893	10.5170765	10.041005	9.866793	9.933913	9.6732
u109	CLDN4	5.788523	5.4564867	5.415428	5.1197762	5.0087442	4.944747
u110	CLEC4G	2.7341034	2.9123507	2.982668	2.5901217	2.5533218	2.3297663
u111	CLSTN2	3.5073416	3.300851	3.924393	2.868655	2.258031	1.1537476
u112	CLTC	3.7268286	3.2880907	3.3045902	3.095661	2.6726584	2.5686145
u113	CNN3	5.0462475	4.68977	4.66718	4.341195	4.543057	4.31576
u114	CNST	4.5614076	3.9385986	4.3642397	3.4140196	3.1209996	3.4053335
u115	CNTN3	4.456271	5.12646	3.527623	2.885682	0.8907456	3.1773272
u116	COL16A1	6.529744	5.6164494	5.6285477	4.9244432	5.0111833	5.097007
u117	COL23A1	10.282174	10.2137375	9.89649	9.5454855	9.628975	9.6173935
u118	COL28A1	3.3154924	3.6423368	4.3992157	2.8516777	3.159504	2.846055
u119	COL4A3	4.5315256	4.296077	4.559912	3.9654512	2.9063323	3.619754
u120	COL6A2	12.071972	11.112057	11.297307	10.74913	10.611552	10.935068
u121	COL6A3	5.4339147	5.789186	5.6213627	5.2859063	5.1079655	5.258334
u122	COL9A1	3.6490276	3.5921998	3.905611	3.4129114	3.4214096	3.1579692
u123	CPT1C	5.4935117	5.0611916	4.4902043	4.413938	3.9212646	4.241359
u124	CREG2	3.4757388	3.7428896	3.4577985	3.0011816	3.2294207	2.7886539
u125	CRIPAK	3.7322457	4.1618233	4.2272735	3.7598033	3.4518638	3.3173914
u126	CRISPLD2	7.8838863	8.256649	7.629191	7.2666106	6.813614	7.015607
u127	CRYGN	1.7836215	2.360155	2.6701012	1.4948381	1.11681	1.8040327
u128	CSF1R	4.862929	4.990461	4.796026	3.7919283	4.3468275	4.2198143
u129	CTH	4.1425233	3.779064	3.9148908	2.9645023	3.3231416	3.7025657
u130	CTPS2	7.0206957	6.5079665	6.2735887	6.1236157	6.0307856	5.798754
u131	CTRB2	13.139945	13.178392	13.060329	12.937654	12.439021	12.719632
u132	CXCL16	4.7092695	4.836528	4.831211	4.6201534	4.2908072	4.0570354
u133	CXorf23	4.855883	5.0698514	5.2655	4.71244	4.6973863	4.484013
u134	CXorf38	5.732146	5.14847	5.218169	4.758978	4.209776	4.8873158
u135	CYB561	3.3184319	3.7626522	3.339604	3.0050728	2.9288816	2.9026458
u136	CYFIP2	7.67968	6.9535503	6.4782505	6.4177127	5.875614	6.1337814
u137	CYGB	16.757265	16.746872	16.573677	16.444792	16.028894	16.429983
u138	CYP1A2	4.3726983	3.873489	3.8777094	3.583118	3.5608199	3.602026
u139	CYP27A1	5.272206	4.6874113	4.531439	4.1199255	3.5721006	4.1852374
u140	CYP2B6	9.573236	9.052072	9.1883335	8.918809	8.857832	8.64854
u141	CYP7B1	7.0717983	6.9834557	7.20235	6.822317	6.505912	6.270732
u142	CYYR1	3.1401262	2.5244942	2.13433	1.7198918	0.9913692	0.9961535
u143	DAAM2	9.112639	9.067075	9.563055	8.819972	8.536085	8.627779
u144	DAK	4.1695294	2.8145425	3.6508527	1.0968819	2.2144313	2.1528766
u145	DCLK1	7.230441	6.686955	6.5315876	6.3131	5.140546	5.900541
u146	DCTN5	3.68181	3.7009196	3.0365891	2.671048	2.64115	2.8409827
u147	DDB1	3.256785	3.988401	3.6031754	3.134967	2.8550396	2.995946
u148	DDR1	6.7494197	6.6174307	6.5901785	6.0331864	6.350232	5.9933934
u149	DDX26B	4.319934	3.8505147	3.6903958	2.608333	3.2857082	2.757359
u150	DEPDC5	1.1350131	1.7877824	2.0721772	0.911435	0.900049	0.93660647
u151	DHDH	3.230875	2.4039798	2.076377	1.9210106	1.033458	1.0165961
u152	DHX36	3.6757987	4.030679	3.452612	2.4718544	2.7107823	2.8967578
u153	DICER1	4.7382174	4.8202558	4.4327264	3.723566	3.951794	3.818347
u154	DIS3L2	3.6309164	3.6111073	3.0813775	3.0791068	2.9204855	2.7976456
u155	DLG2	2.1880958	2.3796816	2.1677196	0.92132175	0.797911	0.7974567
u156	DLK1	6.714147	7.322526	7.6124377	4.0559635	6.1582575	5.8079724
u157	DMXL2	4.10789	3.7480989	3.839985	2.889772	3.6687248	3.3448913
u158	DNAH12	3.071055	3.5374856	4.013618	2.887023	2.036892	2.079553
u159	DPF1	7.0480003	6.913562	6.9086766	6.614211	6.5139666	6.5264087
u160	DPY19L1	5.7484503	5.4582086	5.4994526	5.182686	5.257478	5.1095924
u161	DST	6.791677	5.928555	5.793082	5.471509	5.492107	5.220567
u162	DUOX1	4.181102	3.935071	4.3102984	3.3452592	3.5467963	2.9188461
u163	DUS3L	3.710497	3.7950747	3.8774223	3.364736	3.3342195	3.487197
u164	DYNLT1	4.9570107	4.945954	4.999337	4.6604376	4.5290046	4.358597
u165	ECM2	4.554019	4.2970366	3.5750804	3.6010554	2.537408	2.9252472
u166	ECT2L	3.2887022	3.611434	3.6749563	0.97972196	1.6434584	2.6881495
u167	EDIL3	7.4255466	8.146319	8.12192	7.3273554	6.849315	6.665461
u168	EFHD1	8.533727	8.271576	9.082873	7.8496256	8.050602	7.708988
u169	EHD1	3.1214545	3.982645	4.179016	1.8551288	2.8135521	3.019854
u170	EID3	4.043269	3.934786	3.581744	2.5292978	3.6041322	2.8184063
u171	EIF4G3	7.5835514	7.1454782	7.4070573	6.936264	6.9661984	6.743656
u172	EIF5	5.0050697	4.5413804	4.013891	3.269481	3.8116555	3.8893614
u173	EMILIN3	10.375019	10.15073	10.148573	9.702341	9.839502	9.916231
u174	ENO2	2.9784417	2.6400428	3.6890237	2.2657382	2.2683578	0.8461432
u175	ENPP5	6.1445537	5.7066054	6.657605	5.703734	4.961944	5.3530655
u176	EPHA7	5.1648884	4.529073	3.9944057	3.902906	3.400847	3.805846
u177	EPS15	8.771868	8.5057125	8.278602	8.081634	8.081807	8.061552
u178	ETV1	4.7566996	3.6473293	4.024041	2.7688973	2.8987024	3.527623
u179	EWSR1	6.503547	5.9376764	5.785775	5.3404794	5.25067	5.33846
u180	EXD3	3.9770525	3.3163192	4.152056	3.239648	2.449486	3.0305762
u181	F2RL2	4.2444215	4.062149	4.256426	3.8927886	3.2183788	2.3706918
u182	FAM117B	5.818415	5.730322	5.311121	5.1319604	4.937586	4.81859
u183	FAM120A	4.0436177	3.8006213	3.7849848	2.8862698	3.4153502	2.6349347
u184	FAM120C	4.3870583	4.2497115	4.46761	4.254653	3.8221467	3.7394662
u185	FAM122B	5.134045	5.251457	5.2650394	4.9165463	4.721869	4.708336
u186	FAM122C	2.7560678	2.5632882	2.8300614	1.8858818	1.6619623	1.7060959
u187	FAM149B1	4.71244	5.0617003	4.9586854	3.9616487	4.3182483	4.539458
u188	FAM230A	2.4763637	2.280591	2.440799	2.2836297	1.6384046	1.788709
u189	FAM69A	3.4866357	3.851027	3.424222	3.3386936	3.1268425	2.8707259
u190	FANCD2	3.9854267	3.08424	3.048277	1.8096222	2.6021876	2.546282
u191	FBN1	2.1118653	2.0890172	2.0636697	1.0900362	1.025157	1.0464382
u192	FBRSL1	6.2219644	6.183486	6.3224125	5.6793876	5.642625	5.4073687
u193	FBXW2	3.6622612	3.4030871	3.7777867	2.0087242	3.054311	2.6008496
u194	FGF17	2.3663323	2.8732884	2.4600286	2.2792678	1.8005745	1.3654999
u195	FHL3	7.7225833	7.3030915	7.8130407	7.247117	7.095064	7.2449427
u196	FKBPL	2.5700526	2.0482588	2.3205798	1.9258907	1.0928806	1.0967469
u197	FLJ41455	2.7363043	3.5738378	2.2002969	0.96267056	1.6883798	1.7584648
u198	FMNL1	6.3098307	6.3218646	6.424535	6.0931287	5.8161607	5.5553756
u199	FNDC1	9.080709	7.7590227	8.1872425	7.439712	6.819255	6.296642
u200	FOXJ1	2.2583601	2.868015	1.830608	1.4646387	0.80129266	0.80933154
u201	FOXP1	8.189588	8.002296	7.9202456	7.8589053	7.561935	7.4870486
u202	FRMPD1	2.2664847	2.1292768	2.7416122	2.037793	0.8222532	1.2086794
u203	FSHR	2.9910607	3.7063348	3.418204	2.9231915	2.0974064	1.1395094
u204	FSTL1	8.328487	8.108503	8.381336	7.6258183	7.9662685	7.898777
u205	GAFA1	4.285789	3.9313092	3.8544197	3.1166153	2.6809053	3.1665342
u206	GALNT12	2.6440282	1.9642682	2.3087504	0.8741761	0.871515	0.8955051
u207	GAPT	6.2615685	6.232799	6.4248414	5.7637424	5.9162498	6.099207
u208	GATAD2A	2.2103655	2.4378502	1.8639206	1.1351805	1.1307733	1.6777639
u209	GCN1L1	5.8731246	6.149294	6.1514425	5.1778083	5.658127	5.6836596
u210	GIT2	5.1147075	4.839162	5.355489	4.039353	4.605089	4.251752
u211	GKN1	2.0536098	2.9017658	2.677279	1.6171356	1.0809318	1.33169
u212	GLDN	2.520071	3.7740178	4.991378	1.0228808	1.5023097	1.2268848
u213	GLI3	4.8001456	4.1747136	4.030679	3.2553658	3.5835814	3.2664604
u214	GLT8D2	8.655797	7.999157	8.017683	7.6454153	7.2809606	7.248357
u215	GNAI3	5.0857935	4.910962	4.8582315	4.1259956	4.4351187	4.376782
u216	GNG2	4.505223	3.5341065	4.2100782	3.209281	3.4649289	2.464118
u217	GOLGA8K	4.3383374	3.9726398	3.8063943	3.7316751	3.105658	2.533233
u218	GPCPD1	3.7622972	3.5232089	3.044258	1.1207106	1.5930618	1.1023028
u219	GPM6B	3.9787416	3.7466998	3.8828976	3.294929	2.4914324	3.2493887
u220	GPR143	2.5289028	2.2255023	2.5222433	0.9169774	1.9683926	0.96366626
u221	GPR64	3.5029933	2.6642795	2.4349165	1.1332831	2.3204002	1.1302385
u222	GPT2	5.15603	5.263424	5.8784013	4.4955277	5.1312304	4.4044886
u223	GRIK5	5.5844984	5.402218	5.6029024	5.026277	5.1400332	5.0411654
u224	GSG1	4.350194	4.8578014	4.849076	4.109395	4.267761	3.9902098
u225	GUCA1B	3.5699801	3.7519429	3.6743472	3.0722587	3.3469112	3.0097733
u226	GXYLT1	4.484611	4.777518	4.4675374	3.958042	4.2907033	3.9631534
u227	HAS2	3.1215177	2.6128356	2.7830348	0.9994581	0.970729	2.5315762
u228	HCLS1	9.601139	9.41206	9.263059	9.074002	8.961456	9.069949
u229	HCN4	6.3095393	6.2280083	5.9076476	5.103312	5.6929846	5.482433
u230	HFE	3.0101893	3.134381	2.675077	1.9352831	2.4973457	1.1352168
u231	HHIP	3.60012	2.9989524	2.4893222	1.5505849	0.8315874	0.8441453
u232	HHIPL1	3.4020143	2.9646337	2.3434978	1.0973346	1.8817261	1.6235257
u233	HIST2H2BA	2.538936	2.3397071	2.4930644	1.1042515	1.1237047	1.1468794
u234	HK1	9.781107	9.301529	9.664874	9.328239	9.105417	9.160366
u235	HMGB4	5.681145	5.301791	5.7160826	5.3076277	5.0694737	5.0586686
u236	HMGN1	9.466116	9.263349	9.621917	8.814236	9.180093	9.111902
u237	HSPA5	4.9798098	4.9752245	4.952488	4.409568	4.0848327	4.6913896
u238	HTRA3	9.373713	8.171095	8.306934	7.698757	7.5897026	7.795275
u239	HYDIN	2.9374752	3.3083472	2.5253103	1.5468283	1.4702663	1.8934101
u240	IFNA2	2.7618792	1.8243563	2.4467247	1.129258	1.0949886	1.1380812
u241	IL17D	3.4583921	2.6119347	1.7767028	1.7733922	1.1008722	1.1307273
u242	IL17RE	8.081634	8.29467	8.240309	8.055897	7.4108963	7.5300407
u243	IL1RAP	4.600136	4.378352	4.591894	3.7561734	3.5272393	4.2659583
u244	IL2RG	9.653813	9.564367	9.577737	9.320926	9.097188	9.107939
u245	INTS6	5.8116603	5.7550797	5.6717243	5.262589	5.244453	5.5697765
u246	IPMK	3.1255362	2.7943313	3.255486	2.7608752	2.2582226	1.9375892
u247	ISPD	2.070167	2.6142745	1.8851978	0.8429687	1.8971229	0.84394443
u248	ITPR2	6.9176764	6.63346	6.760976	6.4847555	5.586101	6.2568455
u249	JAM3	7.129718	7.0448403	7.339758	6.57971	6.429989	6.6553917
u250	JAZF1	5.105012	5.4202256	5.1698403	4.9320745	4.849468	4.7666054
u251	KANK3	10.585321	10.215555	10.308289	10.135936	9.8598175	9.878435
u252	KANSL1	4.664721	4.5873666	4.4559927	4.0101604	4.1060834	3.8217134
u253	KAT7	2.1621099	2.100425	3.1413312	0.79382235	1.4855235	0.8352101
u254	KAZN	5.0291367	4.6075306	4.7933006	4.557926	3.7317553	3.7192607
u255	KCNA6	5.554304	4.7686744	5.815588	4.6158996	4.503174	4.5383606
u256	KCND1	3.4038937	3.173316	2.8428874	2.384499	1.628578	1.8332071
u257	KCNJ3	2.1209261	2.6162999	2.9444945	1.729518	1.844365	1.5754937
u258	KCNK1	4.9607706	5.3574896	5.780195	4.5043454	4.7760005	3.6900349
u259	KCNK6	5.471917	5.7588778	5.1904373	4.0368576	4.6540356	4.8515005
u260	KCNMA1	3.7194755	4.2775087	3.329256	2.0323336	2.4182935	3.191101
u261	KIAA0754	3.4103518	2.7962286	2.4489787	0.818521	2.39951	0.81458795
u262	KIAA1147	4.29175	3.993742	4.3968334	3.7305007	3.9111645	3.1227255
u263	KIAA1161	11.158943	10.8184395	10.807685	10.35492	10.420899	10.437502
u264	KIAA1598	4.760216	4.815827	3.6137447	3.180311	3.7326884	2.9790246
u265	KIAA1731NL	2.4502473	2.8353543	1.9864088	0.93084234	1.5115421	0.8988432
u266	KIF19	1.6370999	2.9409313	3.0894647	1.1813372	1.1525613	1.126362
u267	KRBOX4	2.6649146	2.7403154	2.7551546	1.0921329	2.1486936	1.2628938
u268	KRTAP9-4	3.9311135	3.0786006	3.4332852	2.629169	2.7641685	2.9221954
u269	KYNU	3.3419876	2.5625703	2.301237	0.8598495	0.98930323	2.0584407
u270	LCE2D	1.5688416	1.8054731	2.4497478	0.8617783	0.95177287	0.8970216
u271	LDHAL6A	12.907615	12.392778	12.412259	12.073591	11.989543	12.015733
u272	LEFTY2	7.8455625	7.7210293	7.8240767	7.6081424	6.744196	6.8210635
u273	LEKR1	2.2321422	1.9685357	2.839823	0.8373979	0.8180615	1.6867536
u274	LEPROTL1	10.293474	10.145419	9.804473	9.465716	9.613588	9.646992
u275	LGALS7	6.064511	5.8405695	6.483457	5.7702775	5.2419167	5.1723537
u276	LIF	4.6536446	3.4571419	3.674491	2.542094	2.5570738	3.2411149
u277	LINC00493	8.94095	8.706702	8.885163	8.176304	8.375098	8.364643
u278	LINGO1	5.348482	4.5233793	4.508376	4.094033	4.045923	4.1222134
u279	LIPF	1.6335567	1.8529047	2.4521239	1.6146716	0.9899168	0.99115324
u280	LMTK3	2.4406693	1.312606	1.711275	0.858594	1.2321308	0.8428821
u281	LNP1	4.512126	4.003051	4.262059	3.790687	3.92867	3.7678971
u282	LOC100128075	6.220081	5.7035065	5.6642957	5.5134497	4.8710546	5.3429956
u283	LOC100128668	2.565322	2.7874098	2.052192	1.4950863	1.1947795	1.2181058
u284	LOC100129275	5.2004204	5.062145	5.4165382	4.522057	4.658599	4.733194
u285	LOC100129900	3.8287425	4.1631746	3.4428225	3.0480676	2.3771088	3.0730405
u286	LOC100130357	1.7166082	1.5043871	1.7761636	1.3436062	1.1003456	1.045608
u287	LOC100130451	3.2304864	3.175193	3.5384583	1.8419223	2.5414495	2.264185
u288	LOC100130880	2.293957	1.8941748	1.4294773	0.8604665	0.8726988	0.8365015
u289	LOC100131826	3.0159564	1.922905	2.4103236	1.0856063	1.0765951	1.0673152
u290	LOC100288842	5.12767	5.1229553	5.4442983	5.0174193	4.884791	4.6332827
u291	LOC100505549	1.646695	1.4733062	2.2401216	0.8431805	0.84990335	0.85864043
u292	LOC100507209	3.9140837	4.196648	3.6625283	3.5078192	3.086821	3.1685944
u293	LOC100509780	1.9661748	1.468016	1.7565634	0.83769923	0.8777027	0.8705782
u294	LOC101929076	1.9768854	1.5267768	1.4013947	1.0771731	1.0418698	1.0724229
u295	LOC153811	8.503259	8.164776	8.512374	8.158624	7.8076615	7.9780583
u296	LOC650293	5.19153	4.828217	5.9157944	4.1964684	4.239101	4.8449783
u297	LOC728392	6.0867033	5.7597466	5.5878053	5.156379	5.3511014	5.5162606
u298	LOC728554	10.468475	10.48338	10.604223	9.868094	9.960258	10.069532
u299	LRRCC1	4.5211124	4.3775563	4.2779517	3.8984504	4.014512	4.0378385
u300	LRRK2	3.5934792	3.8755171	3.7016644	2.4216454	3.0270565	2.9254212
u301	LSG1	4.230399	4.198448	4.45336	3.7855182	3.1778388	3.6761742
u302	LZTS2	13.142973	12.8216095	12.873385	12.473642	12.370121	12.552167
u303	MAB21L1	4.8090534	4.6523824	4.7293606	3.7485113	4.307126	3.5948684
u304	MACF1	8.392477	8.219462	8.167839	7.9687643	7.9249973	7.6020436
u305	MAD1L1	2.3022118	2.3958986	2.288754	1.1620531	1.3849896	1.5730304
u306	MAGED4B	5.0320954	3.4988532	2.6413405	2.0493264	1.5969611	1.3653398
u307	MAP1B	7.089999	6.6826653	6.732047	6.565567	5.6301584	5.844418
u308	MAP6	7.4332123	7.65675	7.691794	7.1078405	7.1205807	7.3218603
u309	MAPRE2	5.1548853	5.5730295	6.8731236	4.1743393	4.9502196	4.354102
u310	MAST4	4.3729777	4.4211416	3.7014194	3.0862343	2.3131201	3.1844914
u311	MBL2	2.2838345	2.7703736	2.4742146	1.0887628	1.0654743	1.8916863
u312	MCEMP1	5.542159	5.583352	5.4201713	4.983716	5.1411777	5.2543983
u313	MDGA1	4.5290046	4.0005736	5.007546	3.383708	3.6819584	3.7225885
u314	MGAT4C	5.7837434	5.345879	5.298947	4.466259	4.04552	4.8319983
u315	MGC24103	2.5656698	1.2614001	2.6730044	0.8325343	1.2200279	0.82511854
u316	MIA	5.0361257	5.2335396	4.6244783	3.773796	2.1633155	3.25211
u317	MINPP1	6.2278676	5.8157506	5.7038355	5.6437984	5.281455	5.250545
u318	MITF	6.155201	6.139086	5.899088	5.7381663	5.2503076	5.509038
u319	MKL2	6.2108526	6.857789	6.193286	5.8413734	5.5694785	5.653722
u320	MMP2	5.4433255	4.260769	4.2971234	3.425438	3.4563653	3.4661098
u321	MOBP	2.5770102	3.2435324	3.2994752	2.2037315	2.3075235	2.5945232
u322	MOK	4.045044	3.5358663	3.1161325	2.3853931	2.109341	3.008927
u323	MORF4L1	6.3216023	5.9698844	5.93711	5.603818	5.656309	5.546982
u324	MPRIP	4.3426056	4.668187	4.319053	3.9626577	4.006727	3.5514097
u325	MRC2	10.763095	9.968464	9.921757	9.711677	9.045956	8.7020035
u326	MS4A1	3.9466984	4.244467	3.689327	3.4764051	3.254766	3.3759246
u327	MS4A4E	3.7882173	3.6085675	2.9509335	2.4046626	1.7465863	3.050102
